                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1799,                0.90178,                 1.3288,                0.80689,                0.86931,                0.91127,                0.61022,                 1.1497,                0.85174,                 1.3777,             0.00065741,             0.00065741,             0.00065741
                      1,                 1.4065,                 1.1733,                 1.4841,                0.75398,                0.71141,                0.75489,                0.39156,                 1.5992,                 1.2832,                 1.7293,              0.0012979,              0.0012979,              0.0012979
                      2,                 1.5285,                 1.3936,                 1.5723,                0.60504,                0.58725,                0.62818,                0.30593,                 1.7211,                 1.4846,                 1.8979,              0.0019119,              0.0019119,              0.0019119
                      3,                 1.5658,                 1.4194,                 1.6026,                0.65499,                0.61797,                0.68671,                0.34692,                 1.7142,                 1.4515,                 1.8696,              0.0018812,              0.0018812,              0.0018812
                      4,                  1.561,                 1.3917,                 1.6045,                0.60742,                 0.7349,                0.68407,                0.33012,                 1.6701,                 1.3729,                  1.822,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5383,                 1.3538,                 1.5649,                0.66699,                0.63087,                0.66833,                0.32336,                 1.7665,                 1.5943,                 1.9128,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.5701,                 1.3724,                 1.6173,                 0.6918,                0.65436,                0.70842,                0.34002,                 1.7264,                 1.5341,                 1.8563,               0.001802,               0.001802,               0.001802
                      7,                 1.5121,                 1.3192,                  1.568,                0.69548,                0.67785,                0.71757,                 0.3624,                 1.7515,                 1.2431,                 1.8908,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.5086,                 1.3322,                 1.5701,                0.71329,                0.69293,                0.76354,                0.40216,                 1.5595,                 1.2283,                 1.7325,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4954,                 1.3141,                  1.556,                0.63611,                0.65772,                0.67011,                0.30365,                 1.7063,                 1.5086,                 1.8361,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4876,                 1.3025,                  1.544,                0.74448,                0.69417,                0.76727,                0.40331,                 1.5782,                 1.3463,                 1.7632,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.4444,                  1.246,                 1.5227,                 0.6823,                0.70627,                0.73618,                0.37243,                 1.6827,                  1.258,                 1.7875,               0.001604,               0.001604,               0.001604
                     12,                 1.4164,                 1.1839,                  1.482,                0.74813,                0.69799,                 0.7702,                0.40231,                 1.6099,                 1.1689,                 1.7466,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.4398,                 1.1944,                 1.5222,                0.66528,                0.67785,                0.70379,                0.36284,                 1.6846,                 1.2588,                 1.7972,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.4052,                 1.1896,                 1.5032,                0.77872,                0.72038,                0.81177,                0.44559,                 1.5283,                 1.1011,                 1.6702,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.4352,                 1.1834,                 1.5018,                0.77066,                0.69799,                0.77719,                0.40231,                 1.6395,                 1.2027,                 1.7992,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.3748,                 1.1561,                 1.4715,                0.79791,                 0.7287,                0.83952,                0.46761,                 1.5122,                 1.0476,                 1.6713,               0.001406,               0.001406,               0.001406
                     17,                 1.3292,                 1.0943,                 1.4391,                0.77116,                0.70805,                0.80367,                0.41597,                   1.63,                 1.1351,                 1.7842,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.332,                  1.064,                 1.4296,                0.71812,                 0.7349,                 0.7599,                0.41293,                 1.5685,                 1.1633,                 1.7059,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.3236,                 1.0706,                 1.4419,                0.74864,                0.75957,                0.78931,                0.42781,                 1.5778,                 1.1361,                 1.7155,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.3176,                 1.0278,                 1.4167,                0.80734,                0.72483,                0.80861,                0.44746,                 1.5397,                 1.0485,                 1.6997,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.3019,                 1.0657,                 1.4215,                0.79473,                0.78188,                0.84145,                0.45303,                 1.5666,                 1.0254,                 1.7108,               0.001208,               0.001208,               0.001208
                     22,                 1.2977,                 1.0133,                 1.4104,                0.83306,                0.72008,                0.84584,                0.44217,                 1.6025,                  1.016,                 1.7177,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.2881,                0.98083,                 1.3991,                0.77042,                  0.777,                0.81575,                0.46717,                 1.4862,                 0.9793,                 1.6617,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.2673,                0.95104,                 1.3724,                 0.7681,                 0.8447,                0.86212,                0.47867,                 1.4864,                0.99162,                 1.6179,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.2783,                0.95467,                 1.3806,                0.81974,                 0.7953,                0.86477,                0.49139,                 1.5081,                0.98075,                 1.6558,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.2338,                0.93023,                 1.3571,                0.82035,                0.70488,                0.83468,                0.47036,                 1.4805,                0.99919,                 1.6483,                0.00101,                0.00101,                0.00101
                     27,                 1.2195,                0.92132,                 1.3444,                0.79732,                0.83221,                0.85612,                0.48024,                 1.5046,                 0.9371,                 1.6642,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1874,                0.87108,                 1.3228,                 0.8246,                0.76174,                0.84679,                0.46346,                 1.5656,                 0.9783,                 1.7115,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.2192,                0.88891,                  1.345,                0.83544,                0.78523,                0.85876,                0.47434,                 1.4895,                0.90616,                 1.6907,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1933,                0.90493,                 1.3345,                0.83244,                0.78353,                0.86239,                0.48588,                 1.4935,                 0.9198,                 1.6808,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.1874,                0.88424,                 1.3345,                0.81211,                0.82215,                0.87113,                0.48377,                 1.5207,                0.93739,                 1.6945,               0.000812,               0.000812,               0.000812
                     32,                 1.1349,                0.83258,                 1.2835,                0.81819,                0.81208,                 0.8741,                0.47667,                 1.4949,                0.89688,                 1.6755,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.1416,                 0.8424,                 1.2974,                0.86557,                0.75168,                0.86307,                0.49196,                 1.4812,                0.86418,                  1.653,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.1056,                 0.8073,                 1.2847,                0.87438,                0.74832,                0.87521,                  0.512,                 1.4376,                0.85417,                  1.625,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.1178,                0.80375,                 1.2819,                0.84574,                0.78859,                0.88124,                0.50911,                 1.4682,                0.85615,                 1.6316,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0979,                0.80028,                 1.2692,                0.87686,                0.76468,                0.86825,                0.50248,                 1.4629,                0.88895,                 1.6262,               0.000614,               0.000614,               0.000614
                     37,                 1.0864,                0.78478,                 1.2645,                0.83406,                0.79866,                0.87037,                0.50405,                 1.4591,                0.86623,                 1.6718,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0435,                0.73728,                 1.2391,                0.84629,                0.77852,                0.87078,                0.49384,                 1.4571,                0.85062,                 1.6553,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0626,                0.75036,                 1.2555,                0.85072,                0.82234,                0.89469,                0.49624,                 1.5035,                0.83321,                 1.6753,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0545,                0.73519,                 1.2415,                0.82992,                0.83893,                0.88816,                0.51351,                 1.4446,                0.82771,                 1.6461,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0281,                0.71818,                  1.224,                0.83153,                 0.8557,                0.90118,                0.53905,                 1.4075,                0.79645,                 1.5874,               0.000416,               0.000416,               0.000416
                     42,                 1.0125,                0.69958,                  1.216,                 0.8263,                0.85235,                0.89365,                0.53194,                 1.4243,                0.78079,                 1.6454,              0.0003764,              0.0003764,              0.0003764
                     43,                 0.9866,                0.66693,                 1.1993,                0.83554,                0.86577,                0.89368,                0.51835,                 1.4331,                0.78745,                 1.6489,              0.0003368,              0.0003368,              0.0003368
                     44,                0.97753,                0.67775,                 1.1974,                0.88391,                 0.7953,                0.88712,                0.51962,                 1.4397,                0.80838,                 1.6357,              0.0002972,              0.0002972,              0.0002972
                     45,                0.98555,                0.68191,                  1.193,                0.84128,                 0.8255,                0.88872,                0.52136,                 1.4447,                0.80874,                 1.6565,              0.0002576,              0.0002576,              0.0002576
                     46,                0.95688,                0.66367,                 1.1829,                0.87318,                0.80867,                0.89678,                0.53254,                 1.4105,                0.77673,                 1.6252,               0.000218,               0.000218,               0.000218
                     47,                0.96917,                0.67189,                 1.1823,                 0.8606,                 0.8287,                0.90573,                0.52866,                 1.4335,                0.77111,                 1.6385,              0.0001784,              0.0001784,              0.0001784
                     48,                0.92693,                0.63937,                 1.1705,                0.83192,                 0.8557,                0.89567,                0.52757,                 1.4218,                0.76154,                   1.63,              0.0001388,              0.0001388,              0.0001388
                     49,                0.92116,                0.63394,                 1.1655,                0.83537,                0.83893,                0.89504,                0.51969,                 1.4293,                  0.781,                 1.6441,               9.92e-05,               9.92e-05,               9.92e-05
